Place's name,Place's rank,Place's type,Place's status,Place's time,Place's images,Place's url,Place's rate,Place's total reviewer,Place's 5 points,Place's 4 points,Place's 3 points,Place's 2 points,Place's 1 points,retrived_date,Province
Vietlesson,Số 21 trên 179 Lớp học & hội thảo ở Hà Nội,Buổi học & hội thảo,Đang mở cửa,08:00 - 21:00,77,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8647390-Reviews-Vietlesson-Hanoi.html,5,75,72,3,0,0,0,4/21/2022,Hà Nội
Kuy Son Propaganda Art,Số 80 trên 82 Bảo tàng ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng • Phòng trưng bày nghệ thuật,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8647367-Reviews-Kuy_Son_Propaganda_Art-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Vietnam Transfer Service,Số 99 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,Đang mở cửa,00:00 - 23:59,14,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8608618-Reviews-Vietnam_Transfer_Service-Hanoi.html,4,17,13,0,0,0,4,4/21/2022,Hà Nội
Bảo tàng Nhân học,Số 141 trong 259 hoạt động giải trí tại Hà Nội,Viện bảo tàng chuyên ngành • Viện bảo tàng lịch sử tự nhiên • Viện bảo tàng khoa học • Viện bảo tàng nghệ thuật • Viện bảo tàng lịch sử,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8404099-Reviews-Museum_of_Anthropology-Hanoi.html,4.5,4,2,2,0,0,0,4/21/2022,Hà Nội
Samurai Massage,Số 254 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8384311-Reviews-Samurai_Massage-Hanoi.html,3,4,0,1,2,1,0,4/21/2022,Hà Nội
Hanoi Motorbike,Số 240 trên 949 Hoạt động ngoài trời ở Hà Nội,Cho thuê tiện ích,Đang đóng cửa,09:00 - 18:00,62,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8380860-Reviews-Hanoi_Motorbike-Hanoi.html,5,101,93,3,0,3,2,4/21/2022,Hà Nội
Day Spa,Số 93 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 22:00,20,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8317720-Reviews-Day_Spa-Hanoi.html,5,26,21,4,1,0,0,4/21/2022,Hà Nội
Escape Land,Số 44 trên 101 Vui chơi & Giải trí ở Hà Nội,Trò chơi giải thoát,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8300907-Reviews-Escape_Land-Hanoi.html,4.5,2,1,1,0,0,0,4/21/2022,Hà Nội
Thang Long Gallery,Số 85 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8299859-Reviews-Thang_Long_Gallery-Hanoi.html,5,9,9,0,0,0,0,4/21/2022,Hà Nội
Chùa Thiên Trù (Chùa Ngoài),Số 99 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm tôn giáo,,,25,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8296290-Reviews-Thien_Tru_Pagoda-Hanoi.html,5,7,7,0,0,0,0,4/21/2022,Hà Nội
ADAMAS Spa&Clinic,Số 240 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8147361-Reviews-ADAMAS_Spa_Clinic-Hanoi.html,3.5,6,1,2,1,2,0,4/21/2022,Hà Nội
Nhà May Nam,Số 259 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8137794-Reviews-Nam_Tailor-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Cyclo Cooking Class,Số 51 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,279,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8114905-Reviews-Cyclo_Cooking_Class-Hanoi.html,4.5,30,27,0,0,0,3,4/21/2022,Hà Nội
Cleopatra Foot Massage,Số 238 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8099401-Reviews-Cleopatra_Foot_Massage-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Do Manh Cuong Boutique,Số 410 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8099351-Reviews-Do_Manh_Cuong_Boutique-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
VIP Bikes,Số 417 trên 949 Hoạt động ngoài trời ở Hà Nội,Cho thuê tiện ích,Đang đóng cửa,08:00 - 18:00,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8099218-Reviews-VIP_Bikes-Hanoi.html,5,20,20,0,0,0,0,4/21/2022,Hà Nội
V-Artroom,Số 188 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8090819-Reviews-V_Artroom-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Lucas Spa,Số 329 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8078998-Reviews-Lucas_Spa-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Art Vietnam Gallery,Số 122 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,Đang đóng cửa,10:00 - 16:00,14,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8078042-Reviews-Art_Vietnam_Gallery-Hanoi.html,4,9,6,1,1,0,1,4/21/2022,Hà Nội
Bảo tàng Nguyễn Văn Huyên,Số 77 trong 259 hoạt động giải trí tại Hà Nội,Viện bảo tàng chuyên ngành • Viện bảo tàng lịch sử,,,12,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8012551-Reviews-Nguyen_Van_Huyen_Museum-Hanoi.html,5,10,9,1,0,0,0,4/21/2022,Hà Nội
Đài Quan Sát Lotte,Số 7 trong 259 hoạt động giải trí tại Hà Nội,Đài & tháp quan sát • Đài quan sát & cung thiên văn,Đang mở cửa,09:00 - 00:00,400,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7987859-Reviews-Lotte_Observation_Deck-Hanoi.html,4.5,298,172,86,27,9,4,4/21/2022,Hà Nội
Locked,Số 20 trên 101 Vui chơi & Giải trí ở Hà Nội,Trò chơi giải thoát,,,10,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7981920-Reviews-Locked-Hanoi.html,5,8,8,0,0,0,0,4/21/2022,Hà Nội
Huong Sen Healthcare Center,Số 133 trên 332 Spa & Sức khỏe ở Hà Nội,Câu lạc bộ sức khỏe • Spa,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7945911-Reviews-Huong_Sen_Healthcare_Center-Hanoi.html,4,18,9,5,3,0,1,4/21/2022,Hà Nội
D&C Art Gallery,Số 157 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7945909-Reviews-D_C_Art_Gallery-Hanoi.html,4.5,3,1,2,0,0,0,4/21/2022,Hà Nội
La Belle Spa Massage,Số 5 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 23:00,133,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7916190-Reviews-La_Belle_Spa_Massage-Hanoi.html,5,586,584,1,0,1,0,4/21/2022,Hà Nội
Paint A Dress,Số 412 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7175163-Reviews-Paint_A_Dress-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Work Room Four,Số 28 trên 82 Bảo tàng ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng • Phòng trưng bày nghệ thuật • Buổi học & hội thảo,Đang đóng cửa,09:30 - 18:00,28,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7145468-Reviews-Work_Room_Four-Hanoi.html,4.5,11,9,1,1,0,0,4/21/2022,Hà Nội
Cong Vien Thong Nhat,Số 528 trên 949 Hoạt động ngoài trời ở Hà Nội,Các hoạt động ngoài trời khác,,,13,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7084518-Reviews-Cong_Vien_Thong_Nhat-Hanoi.html,4,13,3,4,6,0,0,4/21/2022,Hà Nội
Bgarden Fit'n'Dance Studio,Số 330 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,07:00 - 21:00,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6960998-Reviews-Bgarden_Fit_n_Dance_Studio-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Mua Store,Số 413 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6740444-Reviews-Mua_Store-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
King Pirates Pub,Số 2 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,Đang mở cửa,10:30 - 02:00,1532,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6437083-Reviews-King_Pirates_Pub-Hanoi.html,4.5,250,202,32,11,2,3,4/21/2022,Hà Nội
Annam Foot & Body Massage,Số 236 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,25,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6436757-Reviews-Annam_Foot_Body_Massage-Hanoi.html,3,59,21,6,9,5,18,4/21/2022,Hà Nội
Hanoi Cooking Class Tours,Số 14 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,Đang mở cửa,06:00 - 21:00,78,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6158322-Reviews-Hanoi_Cooking_Class_Tours-Hanoi.html,5,177,161,14,0,1,1,4/21/2022,Hà Nội
Soho Bar,Số 68 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5986617-Reviews-Soho_Bar-Hanoi.html,4,7,2,4,1,0,0,4/21/2022,Hà Nội
Hanoi Morgans Spa,Số 332 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,09:00 - 22:30,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5973389-Reviews-Hanoi_Morgans_Spa-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Diamond Spa,Số 199 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5970622-Reviews-Diamond_Spa-Hanoi.html,4,5,3,1,0,1,0,4/21/2022,Hà Nội
Cửa hàng Indigo,Số 21 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng • Buổi học & hội thảo,Đang đóng cửa,08:00 - 18:00,49,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5771257-Reviews-Indigo_Store-Hanoi.html,5,72,65,5,1,1,0,4/21/2022,Hà Nội
Clouds,Số 416 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5531348-Reviews-Clouds-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Hanoi Foot Massage,Số 252 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5501629-Reviews-Hanoi_Foot_Massage-Hanoi.html,3,2,1,0,0,0,1,4/21/2022,Hà Nội
Lucky Star Shop,Số 195 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4880866-Reviews-Lucky_Star_Shop-Hanoi.html,4.5,3,2,1,0,0,0,4/21/2022,Hà Nội
Vietnam National Puppetry Theatre,Số 88 trong 259 hoạt động giải trí tại Hà Nội,Rạp hát,,,30,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4610945-Reviews-Vietnam_National_Puppetry_Theatre-Hanoi.html,4,18,5,8,4,1,0,4/21/2022,Hà Nội
Quán cà phê Hương Mai,Số 25 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,08:00 - 22:00,87,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4582223-Reviews-Huong_Mai_Cafe-Hanoi.html,4.5,96,71,17,2,3,3,4/21/2022,Hà Nội
Thang Long Water Puppet,Số 1 trên 30 Nhà hát & hòa nhạc ở Hà Nội,Rạp hát • Nhà hát & biểu diễn,Đang mở cửa,08:30 - 20:30,5049,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d455018-Reviews-Thang_Long_Water_Puppet-Hanoi.html,4,12109,4672,4320,2257,573,287,4/21/2022,Hà Nội
Vietnam Military History Museum,Số 19 trong 259 hoạt động giải trí tại Hà Nội,Viện bảo tàng quân đội,Đang đóng cửa,"08:00 - 11:30, 13:00 - 16:30",1519,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d455005-Reviews-Vietnam_Military_History_Museum-Hanoi.html,4,1683,531,671,385,77,19,4/21/2022,Hà Nội
Zeds Threads,Số 17 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang đóng cửa,08:00 - 19:00,54,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4545392-Reviews-Zeds_Threads-Hanoi.html,5,113,104,4,3,1,1,4/21/2022,Hà Nội
Zenith Yoga Au Co,Số 91 trên 332 Spa & Sức khỏe ở Hà Nội,Yoga & pilate,Đang mở cửa,09:00 - 20:00,157,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4474623-Reviews-Zenith_Yoga_Au_Co-Hanoi.html,5,33,32,1,0,0,0,4/21/2022,Hà Nội
Golden Bell Show,Số 11 trên 30 Nhà hát & hòa nhạc ở Hà Nội,Nhà hát & biểu diễn,,,94,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4454210-Reviews-Golden_Bell_Show-Hanoi.html,4.5,138,92,31,12,1,2,4/21/2022,Hà Nội
Amadora Spa,Số 161 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4444073-Reviews-Amadora_Spa-Hanoi.html,4,9,6,1,1,0,1,4/21/2022,Hà Nội
Vietcraft,Số 156 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,213,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4380009-Reviews-Vietcraft-Hanoi.html,4,13,8,2,2,0,1,4/21/2022,Hà Nội
The Warehouse,Số 55 trên 158 Giải trí về đêm ở Hà Nội,Quán bar rượu vang,,,12,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4358819-Reviews-The_Warehouse-Hanoi.html,4.5,10,6,3,0,0,1,4/21/2022,Hà Nội
Flow bar hanoi,Số 100 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4231192-Reviews-Flow_bar_hanoi-Hanoi.html,3,2,1,0,0,0,1,4/21/2022,Hà Nội
Cao Son Express,Số 723 trên 949 Hoạt động ngoài trời ở Hà Nội,Các hoạt động ngoài trời khác,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4102986-Reviews-Cao_Son_Express-Hanoi.html,3,1,0,0,1,0,0,4/21/2022,Hà Nội
Fat Cat Bar,Số 3 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,147,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4056184-Reviews-Fat_Cat_Bar-Hanoi.html,4.5,332,254,46,17,6,9,4/21/2022,Hà Nội
L'Epicerie du Metropole,Số 90 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,07:00 - 21:00,16,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d3778547-Reviews-L_Epicerie_du_Metropole-Hanoi.html,4,24,9,9,4,2,0,4/21/2022,Hà Nội
Mai Dich Childrens Villages,Số 259 trong 259 hoạt động giải trí tại Hà Nội,Bảo tàng dành cho trẻ em,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d3588496-Reviews-Mai_Dich_Childrens_Villages-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Perfume Pagoda,Số 30 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm tôn giáo,,,980,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311078-Reviews-Perfume_Pagoda-Hanoi.html,4,636,187,245,107,56,41,4/21/2022,Hà Nội
Bảo Tàng Hồ Chí Minh,Số 28 trong 259 hoạt động giải trí tại Hà Nội,Viện bảo tàng lịch sử,Đang đóng cửa,"08:00 - 12:00, 14:00 - 16:30",727,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311066-Reviews-Ho_Chi_Minh_Museum-Hanoi.html,3.5,1220,363,348,304,145,60,4/21/2022,Hà Nội
Chabad Of Hanoi,Số 222 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm tôn giáo,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23959045-Reviews-Chabad_Of_Hanoi-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Sun Movement,Số 277 trên 332 Spa & Sức khỏe ở Hà Nội,Câu lạc bộ sức khỏe,Đang đóng cửa,10:00 - 18:00,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23942019-Reviews-Sun_Movement-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Sportee Store,Số 223 trong 259 hoạt động giải trí tại Hà Nội,Cửa hàng của nhà máy,Đang mở cửa,09:00 - 21:00,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23860528-Reviews-Sportee_Store-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Den Quan Tran Vu,Số 92 trong 259 hoạt động giải trí tại Hà Nội,Địa điểm tôn giáo,,,53,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2349048-Reviews-Den_Quan_Tran_Vu-Hanoi.html,3.5,31,6,9,15,1,0,4/21/2022,Hà Nội
Gốm Sứ Bảo Khánh,Số 314 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,109,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23444786-Reviews-G_m_S_B_o_Khanh-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Hong Mau Don Foot Massage,Số 248 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2213197-Reviews-Hong_Mau_Don_Foot_Massage-Hanoi.html,3,10,3,2,0,3,2,4/21/2022,Hà Nội
Việt Phủ Thành Chương,Số 20 trong 259 hoạt động giải trí tại Hà Nội,Điểm thu hút khách tham quan & thắng cảnh • Địa điểm tôn giáo,Đang đóng cửa,09:00 - 17:00,266,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2182334-Reviews-Thanh_Chuong_s_Viet_Palace-Hanoi.html,4.5,132,84,37,7,4,0,4/21/2022,Hà Nội
Long Bien Bridge,Số 15 trong 259 hoạt động giải trí tại Hà Nội,Điểm thu hút khách tham quan & thắng cảnh • Cầu,Đang mở cửa,00:00 - 23:59,712,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2179632-Reviews-Long_Bien_Bridge-Hanoi.html,4,1153,442,445,220,27,19,4/21/2022,Hà Nội
Tonkin Craft,Số 324 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang đóng cửa,09:00 - 19:00,8,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d21366675-Reviews-Tonkin_Craft-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Viện Thẩm Mỹ Korea,Số 80 trong 259 hoạt động giải trí tại Hà Nội,Điểm thu hút khách tham quan & thắng cảnh,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d21350922-Reviews-Vi_n_Th_m_M_Korea-Hanoi.html,5,6,6,0,0,0,0,4/21/2022,Hà Nội
Ngo Minh,Số 325 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d21335907-Reviews-Ngo_Minh-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Mama Maia Spa,Số 218 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,00:00 - 23:59,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d21242662-Reviews-Mama_Maia_Spa-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Arrow Helmet Shop,Số 212 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng • Cửa hàng bách hóa • Cửa hàng của nhà máy,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d21111461-Reviews-Arrow_Helmet_Shop-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Sun Spirit Spa,Số 62 trên 101 Vui chơi & Giải trí ở Hà Nội,Xưởng vẽ & làm đồ gốm,Đang mở cửa,09:00 - 21:00,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d20991147-Reviews-Sun_Spirit_Spa-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Pineapple Cooking Centre,Số 100 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2054908-Reviews-Pineapple_Cooking_Centre-Hanoi.html,5,2,2,0,0,0,0,4/21/2022,Hà Nội
the Warehouse,Số 122 trên 158 Giải trí về đêm ở Hà Nội,Quán bar rượu vang,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d20412125-Reviews-The_Warehouse-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Cỏ Mềm Homelab,Số 216 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,7,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d20371519-Reviews-Co_Mem_Homelab-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Omamori Spa Đào Duy Từ,Số 272 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,43,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d20275289-Reviews-Omamori_Spa_Dao_Duy_Tu-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Vietnam,Số 259 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d20265771-Reviews-Vietnam-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Az Motorbikes,Số 646 trên 949 Hoạt động ngoài trời ở Hà Nội,Cho thuê tiện ích,Đang đóng cửa,08:00 - 18:00,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d20201672-Reviews-Az_Motorbikes-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Chùa Diên Hựu,Số 201 trong 259 hoạt động giải trí tại Hà Nội,Điểm thu hút khách tham quan & thắng cảnh • Địa điểm tôn giáo,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d20139578-Reviews-Dien_Huu_Pagoda-Hanoi.html,3,1,0,0,1,0,0,4/21/2022,Hà Nội
Hong Hoai Cooking Class,Số 43 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,Đang đóng cửa,09:00 - 18:00,14,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19994127-Reviews-Hong_Hoai_Cooking_Class-Hanoi.html,5,13,13,0,0,0,0,4/21/2022,Hà Nội
Sen Spa Phố Cổ,Số 148 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19782457-Reviews-Sen_Spa_Pho_Co-Hanoi.html,5,5,5,0,0,0,0,4/21/2022,Hà Nội
Hanhsilk,Số 219 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang đóng cửa,08:00 - 19:30,8,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19776569-Reviews-Hanhsilk-Hanoi.html,5,1,1,0,0,0,0,4/21/2022,Hà Nội
Yhi Spa,Số 292 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19501537-Reviews-Yhi_Spa-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Muse Lounge,Số 133 trên 158 Giải trí về đêm ở Hà Nội,Câu lạc bộ khiêu vũ & vũ trường,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19466071-Reviews-Muse_Lounge-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Cỏ Mềm,Số 122 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 21:30,13,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19413583-Reviews-Co_Mem-Hanoi.html,5,4,4,0,0,0,0,4/21/2022,Hà Nội
Hanoi Aria Spa & Wellness,Số 174 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,00:00 - 23:59,8,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19321687-Reviews-Hanoi_Aria_Spa_Wellness-Hanoi.html,5,3,3,0,0,0,0,4/21/2022,Hà Nội
La énMay Spa,Số 65 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,Đang mở cửa,10:00 - 22:00,49,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19216012-Reviews-La_enMay_Spa-Hanoi.html,5,41,41,0,0,0,0,4/21/2022,Hà Nội
"Em:mer Beauty - F2 ,98 Hàng Buồm",Số 79 trên 101 Vui chơi & Giải trí ở Hà Nội,Trò chơi giải thoát,Đang mở cửa,09:00 - 21:00,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19204215-Reviews-Em_mer_Beauty_F2_98_Hang_Bu_m-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
Holly Nine,Số 58 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19120726-Reviews-Holly_Nine-Hanoi.html,5,3,3,0,0,0,0,4/21/2022,Hà Nội
The January Outdoor,Số 356 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,Đang mở cửa,09:00 - 20:00,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19085767-Reviews-The_January_Outdoor-Hanoi.html,,0,0,0,0,0,0,4/21/2022,Hà Nội
